size, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10
1048576,34,42,35,36,39,43,40,41,40,42,80
10485760,310,301,309,342,300,332,312,299,310,335,309
104857600,3383,3032,3029,2996,3148,3054,3118,2930,3126,3114,3097
1073741824,33149,30755,31627,30648,31110,31119,32109,30872,30843,31503,30537
