loss, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9
0,40408,40737,41040,40764,55727,40808,40545,40490,40610,40291
1,45583,42546,41674,42404,41924,41840,41875,42176,41728,42227
2,46224,43975,45234,43067,44664,44310,43478,54429,44151,47873
3,47649,45767,44980,47217,46274,46237,44677,45830,45001,47669
4,46953,46651,51111,47726,48230,48221,46529,48040,48997,47489
5,51064,48319,49070,48613,50643,57410,49261,51174,50674,49047
6,51666,50566,50552,51530,50460,50915,51499,52315,50367,50489
7,57498,54304,51644,52074,51606,54449,53220,52058,53175,56982
8,56307,54128,55516,52955,54158,55409,54853,54426,54554,53462
9,55383,57756,55385,58613,57609,58486,56019,63039,54517,56623
10,60375,58410,59261,57427,59427,57565,58213,59586,60722,59475
