loss, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9
0,40884,41228,42364,44274,40838,40559,40683,40233,40250,40532
1,43295,43626,43473,43374,43924,44214,45659,43044,47479,43107
2,45783,47498,46122,54876,46999,46490,63245,46487,46729,62410
3,47696,48292,72162,53451,47775,50429,75010,48929,48987,49689
4,68805,50312,56020,68440,51369,64927,74136,53108,52200,54546
5,56631,84172,84543,54521,65811,55990,53637,59786,62781,53552
6,64542,59805,56704,56785,70408,58718,116547,128168,57383,59676
7,64211,70526,62688,64124,62450,65340,68538,61321,61782,62261
8,66400,124294,87438,67094,65852,67551,101425,68521,74371,65160
9,73853,75959,71080,71633,77267,71975,72513,71268,69660,69498
10,80101,82692,80990,75774,83149,104795,104130,75758,74574,81494
