loss, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9
0,311,286,277,309,253,299,305,316,456,355
1,1677,2639,1740,1602,1827,2236,1701,1309,1722,3198
2,8108,3318,3422,4743,3218,4048,3118,3845,3322,4663
3,6858,6032,8524,5162,10514,6366,4731,5934,5568,5982
4,6732,7431,6711,6430,6214,7580,6057,9817,7224,8198
5,8936,9048,9106,9378,8449,8615,8180,8843,7796,8235
6,9755,14767,9473,11079,12625,11279,12581,9796,10226,10052
7,13415,12086,11717,12846,11837,15020,15838,14100,11750,16942
8,13492,13717,13233,14073,17885,15176,14319,16975,20126,13061
9,17131,19717,16381,20573,16548,17199,17300,16510,16025,15524
10,17455,16591,18732,18256,17713,18580,19898,17893,19019,17691
